"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 10 16:40:00 CST 2023","Tue Jan 10 16:40:00 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","2.新增计划箱和箱信息",""
"broken","Tue Jan 10 16:40:02 CST 2023","Tue Jan 10 16:40:02 CST 2023","0","TestCase.SmokeTest.06_bulkcargointostorage","test_bulkcargointostorage","","","","2.新增散货入库箱信息和车辆信息",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.02_changeStoreProcess","test_changeStoreProcess","","","","2.车载中转推操作",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.05_lockboxprocess","test_lockbox","","","","高级锁箱管理中加高级锁、解高级锁、加普通锁、解普通锁",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.04_checkboxprocess","test_checkplan","","","","4.查验结算收费",""
"broken","Tue Jan 10 16:40:02 CST 2023","Tue Jan 10 16:40:02 CST 2023","0","TestCase.SmokeTest.06_bulkcargointostorage","test_bulkcargointostorage","","","","3.散货入库车辆进场","散货入库车辆进场"
"broken","Tue Jan 10 16:40:02 CST 2023","Tue Jan 10 16:40:02 CST 2023","0","TestCase.SmokeTest.06_bulkcargointostorage","test_bulkcargointostorage","","","","4.散货入库确认","散货入库"
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","5.车载落箱","车载操作"
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.04_checkboxprocess","test_checkplan","","","","2.添加查验箱",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.03_changeBoxProcess","test_changeBox","","","","2.整改计划结算",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.02_changeStoreProcess","test_changeStoreProcess","","","","1.添加转堆计划",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.06_bulkcargointostorage","test_bulkcargointostorage","","","","1.新增散货入库计划","散货入库计划"
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","4.送箱进场登记","送箱进场登记有计划"
"broken","Tue Jan 10 16:40:02 CST 2023","Tue Jan 10 16:40:02 CST 2023","0","TestCase.SmokeTest.06_bulkcargointostorage","test_bulkcargointostorage","","","","5.散货入库车辆放行","送提货车确认放行"
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.04_checkboxprocess","test_checkplan","","","","3.查验过程录入",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","6.车辆出场","车辆出场"
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.03_changeBoxProcess","test_changeBox","","","","1.添加集装箱整改计划",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","3.添加堆存计划",""
"broken","Tue Jan 10 16:39:55 CST 2023","Tue Jan 10 16:39:55 CST 2023","0","TestCase.SmokeTest.01_goinboxprocess","test_goin_box_process","","","","1.新增进箱计划",""
"broken","Tue Jan 10 16:40:01 CST 2023","Tue Jan 10 16:40:01 CST 2023","0","TestCase.SmokeTest.04_checkboxprocess","test_checkplan","","","","1.添加查验计划",""
